Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2015-07-01 00:39:27,Running,,2.66,18:11,6:51,8.76,164.0,15.17,,,2015-07-01-0039.gpx
2015-06-27 22:26:55,Running,,3.23,20:06,6:14,9.64,199.0,33.45,,,2015-06-27-2226.gpx
2015-06-27 08:23:28,Running,,3.97,27:38,6:58,8.61,240.0,28.91,,,2015-06-27-0823.gpx
2015-06-21 07:58:40,Running,,3.71,25:52,6:58,8.61,226.0,31.73,,,2015-06-21-0758.gpx
2015-06-13 06:43:35,Running,,3.40,24:19,7:10,8.38,200.0,27.45,,,2015-06-13-0643.gpx
2015-05-30 07:57:06,Running,,6.08,43:45,7:12,8.34,369.0,48.18,,,2015-05-30-0757.gpx
2015-05-28 22:13:48,Running,,4.05,27:44,6:51,8.76,249.0,30.32,,,2015-05-28-2213.gpx
2015-05-25 22:37:29,Running,,3.82,24:46,6:29,9.26,238.0,31.41,,,2015-05-25-2237.gpx
2015-05-24 08:04:28,Running,,4.02,26:42,6:39,9.02,246.0,32.03,,,2015-05-24-0804.gpx
2015-05-21 23:00:12,Running,,4.24,28:36,6:45,8.90,260.0,30.98,,,2015-05-21-2300.gpx
2015-05-19 22:15:11,Running,,4.06,26:47,6:36,9.08,255.0,31.29,,,2015-05-19-2215.gpx
2015-05-16 22:35:06,Running,,2.95,24:41,8:22,7.17,181.0,21.53,,,2015-05-16-2235.gpx
2015-05-10 09:30:07,Running,,4.91,37:07,7:34,7.93,292.0,39.73,,,2015-05-10-0930.gpx
2015-05-09 08:10:22,Running,,6.35,49:01,7:43,7.78,391.0,73.27,,,2015-05-09-0810.gpx
2015-05-05 21:08:08,Running,,2.76,18:14,6:36,9.09,170.0,21.18,,,2015-05-05-2108.gpx
2015-04-25 21:43:11,Running,,6.11,43:49,7:10,8.37,369.0,38.84,,,2015-04-25-2143.gpx
2015-04-19 21:02:41,Running,,3.78,25:55,6:51,8.76,233.0,32.00,,,2015-04-19-2102.gpx
2015-04-15 21:46:28,Running,,4.22,28:55,6:51,8.77,267.0,39.09,,,2015-04-15-2146.gpx
2015-04-11 07:32:37,Running,,4.77,40:11,8:25,7.12,277.0,33.86,,,2015-04-11-0732.gpx
2015-04-07 21:31:35,Running,,2.60,20:31,7:53,7.60,153.0,18.00,,,2015-04-07-2131.gpx
2015-04-05 22:38:27,Running,,2.01,14:33,7:14,8.30,122.0,17.18,,,2015-04-05-2238.gpx
2015-03-25 21:13:02,Running,,3.65,26:57,7:23,8.13,216.0,30.45,,,2015-03-25-2113.gpx
2015-03-08 07:56:00,Running,,5.78,50:46,8:47,6.83,329.0,45.45,,,2015-03-08-0756.gpx
2015-02-18 20:31:38,Running,,3.71,28:05,7:34,7.93,218.0,31.27,,,2015-02-18-2031.gpx
2015-02-10 19:21:54,Running,,3.70,31:40,8:33,7.02,223.0,32.18,,,2015-02-10-1921.gpx
2015-02-03 20:38:24,Running,,3.02,24:06,7:59,7.52,179.599228842063,22.09,,,2015-02-03-2038.gpx
2015-02-01 11:12:47,Running,,5.80,48:27,8:21,7.19,337.178783675424,47.21,,,2015-02-01-1112.gpx
2015-01-31 08:59:01,Running,,5.97,49:26,8:17,7.24,352.411261776173,70.79,,,2015-01-31-0859.gpx
2015-01-25 10:24:51,Running,,4.51,40:42,9:01,6.65,265.994105868331,53.62,,,2015-01-25-1024.gpx
2014-11-11 17:11:56,Running,,4.26,33:50,7:56,7.56,261.253373467199,38.71,,,2014-11-11-1711.gpx
